0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,4,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,4,1,,,
,,,,,Jiwa,,,Unit,,,,4,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),4,1,(13),(14),(15)
11,ACEH,1101,ACEH SELATAN,9,-,-,25.292,,,,4.339,4,1,-,-,-
,,1102,ACEH TENGGARA,10,1,-,9.821,25,16,24,1.313,4,1,-,-,-
,,1103,ACEH TIMUR,3,-,-,2.338,12,19,43,252,4,1,-,-,-
,,1104,ACEH TENGAH,4,4,-,473,9,10,6,88,4,1,-,-,-
,,1105,ACEH BARAT,7,3,-,8.828,1,,,2.890,4,1,-,-,-
,,1106,ACEH BESAR,12,-,-,19.424,2,1,1,,4,1,1,-,-
,,1107,PIDIE,3,-,-,86.870,,,1,6.189,4,1,1,-,-
,,1108,ACEH UTARA,3,-,-,5.130,14,,53,1.363,4,1,-,-,-
,,1109,SIMEULUE,1,-,-,320,,,,64,4,1,-,-,-
,,1110,ACEH SINGKIL,5,-,-,35.140,2,4,12,1.915,4,1,-,-,-
,,1111,BIREUEN,5,-,-,16.372,6,5,3,3.729,4,1,-,-,-
,,1112,ACEH BARAT DAYA,2,-,1,124,3,,14,,4,1,-,-,-
,,1113,GAYO LUES,3,-,-,180,24,,8,,4,1,-,-,-
,,1114,ACEH JAYA,11,-,-,8.860,5,3,9,2.365,4,1,-,-,-
,,1115,NAGAN RAYA,4,-,-,9.116,,,,2.776,4,1,-,-,-
,,1116,ACEH TAMIANG,1,-,-,6.415,1,,,,4,1,-,-,-
,,1117,BENER MERIAH,8,-,-,-,,,,,4,1,-,-,-
,,1118,PIDIE JAYA,2,-,-,380,,6,,70,4,1,-,-,-
,,1171,KOTA BANDA ACEH,1,1,1,4,1,,,,4,1,1,-,-
,,1175,"KOTA
SUBULUSSALAM",5,-,-,15.904,,,,2.481,4,1,-,-,-
12,"SUMATERA
UTARA",1201,TAPANULI TENGAH,4,-,-,1.450,1,,13,50,4,1,-,-,-
,,1202,TAPANULI UTARA,7,5,24,668,27,,10,190,4,1,-,1,-
,,1203,TAPANULI SELATAN,13,3,87,6.070,106,,305,645,4,1,1,-,-
,,1205,LANGKAT,24,1,11,28.318,,,,8.815,4,1,-,-,-
,,1206,KARO,33,13,-,655,17,,,4,4,1,-,1,-
,,1207,DELI SERDANG,34,18,37,67.246,76,128,137,2.949,4,1,4,5,-
,,1208,SIMALUNGUN,15,2,1,1.373,13,11,138,163,4,1,-,-,-
,,1209,ASAHAN,14,-,-,33.946,,,,6.779,4,1,-,-,-
,,1210,LABUHANBATU,22,2,-,158,,,,30,4,1,-,-,-
,,1211,DAIRI,13,-,-,2.304,16,4,39,5,4,1,-,-,-
,,1212,TOBA,9,-,,20,,,6,,4,1,-,-,-
,,1213,MANDAILING NATAL,10,-,1,960,11,12,,229,4,1,-,-,-
,,1215,PAKPAK BHARAT,2,-,,1.095,,,,,4,1,-,-,-
,,1216,"HUMBANG
HASUNDUTAN",2,-,,5,,,1,,4,1,5,-,-
,,1217,SAMOSIR,15,2,5,8,1,,6,,4,1,-,1,-
,,1218,SERDANG BEDAGAI,9,-,-,15.742,8,,12,3.649,4,1,-,-,-
,,1219,BATU BARA,3,-,,60,8,,2,405,4,1,3,-,-
