0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
34,"DAERAH
ISTIMEWA
YOGYAKARTA",3401,KULON PROGO,26,-,-,1.647,1,8,154,,9,1,5,1,1
,,3402,BANTUL,9,1,2,430,2,6,115,,9,1,4,3,-
,,3403,GUNUNGKIDUL,15,1,3,54.069,7,23,930,,9,1,4,4,-
,,3404,SLEMAN,15,1,3,1.056,9,59,491,,9,1,8,8,1
35,JAWA TIMUR,3501,PACITAN,5,2,1,32,,,19,,9,1,-,-,-
,,3502,PONOROGO,22,2,-,1.285,,,4,257,9,1,-,1,-
,,3503,TRENGGALEK,22,1,1,14.815,1,,54,15,9,1,-,-,-
,,3504,TULUNGAGUNG,9,-,-,1.045,1,,300,,9,1,-,1,-
,,3505,BLITAR,16,4,1,12.586,13,5,198,69,9,1,1,1,-
,,3506,KEDIRI,6,-,-,610,1,1,135,52,9,1,1,-,-
,,3507,MALANG,18,2,-,1.140,3,13,128,282,9,1,1,1,-
,,3508,LUMAJANG,11,7,-,6.640,10,12,118,1.431,9,1,-,-,-
,,3509,JEMBER,24,2,8,26.661,6,8,109,3.203,9,1,2,1,-
,,3510,BANYUWANGI,12,-,-,1.460,5,5,93,,9,1,-,-,-
,,3511,BONDOWOSO,26,-,19,2.235,18,104,310,91,9,1,8,4,-
,,3512,SITUBONDO,17,1,-,1.352,2,,3,339,9,1,1,1,-
,,3513,PROBOLINGGO,15,-,-,5.309,,,11,1.091,9,1,-,-,-
,,3514,PASURUAN,31,2,-,109.041,,,121,16.874,9,1,-,1,-
,,3515,SIDOARJO,18,1,2,35.862,,,469,2.651,9,1,1,-,-
,,3516,MOJOKERTO,24,-,1,21.974,20,49,28,2.732,9,1,1,-,1
,,3517,JOMBANG,20,-,2,9.828,1,10,110,899,9,1,1,-,-
,,3518,NGANJUK,7,-,-,1.689,,2,9,34,9,1,-,-,-
,,3519,MADIUN,11,-,2,4.275,4,2,111,390,9,1,-,3,-
,,3520,MAGETAN,14,1,1,1.799,,95,48,23,9,1,1,-,-
,,3521,NGAWI,5,1,1,3.172,,,5,745,9,1,-,-,-
,,3522,BOJONEGORO,15,1,-,28.183,9,1,179,1.504,9,1,-,-,1
,,3523,TUBAN,7,-,-,12.130,1,5,39,2.416,9,1,4,-,-
,,3524,LAMONGAN,14,-,2,4.025,11,13,106,2.271,9,1,3,2,1
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,10,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,10,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,10,1,,,
,,,,,Jiwa,,,Unit,,,,10,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),10,1,(13),(14),(15)
,,3525,GRESIK,14,1,8,52.235,943,1.622,4.126,4.212,10,1,101,199,2
,,3526,BANGKALAN,2,-,-,8.200,,3,56,4.233,10,1,2,3,-
,,3527,SAMPANG,5,-,-,22.450,11,11,71,4.174,10,1,-,-,-
,,3528,PAMEKASAN,19,1,5,10.151,13,41,770,2.634,10,1,6,2,1
,,3529,SUMENEP,5,-,-,75,,,85,,10,1,-,-,-
,,3571,KOTA KEDIRI,3,-,-,192,20,3,25,,10,1,-,-,-
,,3572,KOTA BLITAR,1,-,-,-,,,5,,10,1,-,-,-
,,3573,KOTA MALANG,2,-,-,1.100,,,,241,10,1,-,-,-
,,3575,KOTA PASURUAN,8,1,-,15.189,2,,38,1.179,10,1,-,-,-
,,3576,KOTA MOJOKERTO,1,-,-,2.156,,,,529,10,1,-,-,-
,,3577,KOTA MADIUN,4,-,1,6.490,,1,7,115,10,1,-,-,-
,,3578,KOTA SURABAYA,5,-,1,495,,,157,,10,1,-,-,2
,,3579,KOTA BATU,2,-,-,50,,,,,10,1,-,-,-
36,BANTEN,3601,PANDEGLANG,18,2,4,64.030,28,43,134,5.253,10,1,-,-,-
,,3602,LEBAK,12,7,2,14.648,67,16,238,2.638,10,1,2,-,-
,,3603,TANGERANG,1,-,-,6.665,,,,,10,1,-,-,-
,,3604,SERANG,18,-,-,9.831,6,37,65,2.394,10,1,-,1,-
,,3671,KOTA TANGERANG,3,-,-,4.140,,,,1.132,10,1,-,-,-
,,3672,KOTA CILEGON,7,-,-,4.122,,,,995,10,1,-,-,-
,,3673,KOTA SERANG,18,-,-,6.172,9,16,240,339,10,1,-,-,-
,,3674,"KOTA TANGERANG
SELATAN",20,-,-,33.440,,10,,1.148,10,1,-,-,-
51,BALI,5101,JEMBRANA,4,2,11,-,5,28,78,,10,1,-,-,-
,,5102,TABANAN,2,3,-,-,,,,,10,1,-,-,-
,,5103,BADUNG,5,1,-,-,43,31,49,,10,1,-,5,-
,,5104,GIANYAR,3,4,1,-,,2,,,10,1,4,2,-
,,5105,KLUNGKUNG,3,-,-,7,19,1,,,10,1,-,-,-
,,5106,BANGLI,3,2,3,-,,,,,10,1,-,-,-
,,5107,KARANGASEM,12,1,3,-,2,5,21,,10,1,-,-,-
,,5108,BULELENG,5,1,-,-,4,18,5,,10,1,1,2,-
52,"NUSA
TENGGARA
BARAT",5201,LOMBOK BARAT,9,-,-,18.062,52,112,211,175,10,1,-,-,-
,,5202,LOMBOK TENGAH,11,1,1,278.666,31,43,106,644,10,1,-,-,-
,,5203,LOMBOK TIMUR,3,1,-,85.523,,3,,,10,1,-,-,-
,,5204,SUMBAWA,11,-,-,70.683,22,5,67,1.229,10,1,1,-,-
,,5205,DOMPU,6,-,9,35.352,2,5,2,20,10,1,-,-,-
,,5206,BIMA,24,-,-,46.284,26,1,51,5.140,10,1,2,1,1
,,5207,SUMBAWA BARAT,2,-,-,17.138,,1,9,,10,1,-,-,-
,,5208,LOMBOK UTARA,3,-,-,17.105,,,,,10,1,-,-,-
,,5271,KOTA MATARAM,2,-,-,256,4,,,35,10,1,-,-,-
,,5272,KOTA BIMA,6,-,-,40.894,,,,,10,1,1,-,-
53,"NUSA
TENGGARA
TIMUR",5301,KUPANG,5,1,-,480,4,7,15,91,10,1,1,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,11,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,11,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,11,1,,,
,,,,,Jiwa,,,Unit,,,,11,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),11,1,(13),(14),(15)
,,5302,"TIMOR TENGAH
SELATAN",1,-,-,239,,,,58,11,1,-,-,-
,,5303,"TIMOR TENGAH
UTARA",1,-,-,550,22,27,70,,11,1,2,3,-
,,5304,BELU,2,1,-,64,6,,11,,11,1,-,1,-
,,5305,ALOR,2,1,5,163,25,,16,,11,1,-,-,-
,,5306,FLORES TIMUR,4,13,64,51.976,2.406,,,,11,1,25,4,28
,,5307,SIKKA,2,1,-,842,,,20,480,11,1,-,-,-
,,5308,ENDE,6,9,-,364,1,15,37,7,11,1,-,-,-
,,5309,NGADA,1,-,-,105,6,20,,,11,1,-,-,1
,,5310,MANGGARAI,1,-,-,228,,,61,,11,1,-,-,-
,,5311,SUMBA TIMUR,1,1,-,-,,,,,11,1,-,-,-
,,5312,SUMBA BARAT,2,-,-,111,15,,,,11,1,-,-,-
,,5313,LEMBATA,9,-,-,98,1,,5,21,11,1,-,-,-
,,5314,ROTE NDAO,4,2,-,582,,,2,,11,1,-,-,-
,,5315,MANGGARAI BARAT,4,-,-,946,,6,2,14,11,1,-,-,-
,,5316,NAGEKEO,1,1,-,3,,,,1,11,1,-,-,-
,,5318,SUMBA BARAT DAYA,1,-,-,20,1,2,2,,11,1,1,1,-
,,5321,MALAKA,2,1,-,20.008,,,,4.295,11,1,-,-,-
,,5371,KOTA KUPANG,4,-,-,1.122,2,7,26,268,11,1,-,-,-
61,"KALIMANTAN
BARAT",6101,SAMBAS,8,-,-,26.942,,,,5.658,11,1,-,-,-
,,6102,MEMPAWAH,2,-,-,10.157,,,,2.648,11,1,-,-,-
,,6103,SANGGAU,8,-,-,21.832,8,3,8,4.398,11,1,4,-,-
,,6104,KETAPANG,6,-,-,21.378,,,,4.193,11,1,-,-,-
,,6105,SINTANG,4,-,-,78.954,1,,,14.981,11,1,-,-,-
,,6106,KAPUAS HULU,2,-,-,80.714,2,,,15.145,11,1,-,-,-
,,6107,BENGKAYANG,5,-,-,17.452,1,,,3.188,11,1,-,-,-
,,6108,LANDAK,6,1,-,70.790,4,2,,15.758,11,1,-,-,-
,,6109,SEKADAU,3,-,-,43.397,,,,11.284,11,1,-,-,-
,,6110,MELAWI,10,2,-,48.692,,,,11.557,11,1,-,-,-
,,6111,KAYONG UTARA,1,-,-,-,,,,,11,1,-,-,-
,,6112,KUBU RAYA,11,1,2,30.638,1,2,9,6.950,11,1,-,-,-
,,6171,KOTA PONTIANAK,1,-,-,-,8,,4,,11,1,-,-,-
,,6172,KOTA SINGKAWANG,2,-,-,1.775,,,,337,11,1,-,-,-
62,"KALIMANTAN
TENGAH",6201,"KOTAWARINGIN
BARAT",5,-,-,8.183,,,,1.127,11,1,-,-,-
,,6202,"KOTAWARINGIN
TIMUR",7,-,2,6.336,,,,2.288,11,1,-,-,-
,,6203,KAPUAS,2,-,-,37.697,,,,7.425,11,1,-,-,-
,,6204,BARITO SELATAN,2,-,-,180,,,,36,11,1,-,-,-
,,6205,BARITO UTARA,4,-,-,90.938,,,,19.490,11,1,-,-,-
,,6206,KATINGAN,3,-,-,7.507,,,,1.625,11,1,-,-,-
,,6207,SERUYAN,2,-,-,12.186,,,,2.924,11,1,-,-,-
,,6208,SUKAMARA,7,-,-,2.125,,,,614,11,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,12,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,12,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,12,1,,,
,,,,,Jiwa,,,Unit,,,,12,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),12,1,(13),(14),(15)
,,6209,LAMANDAU,6,-,-,5.037,,,,739,12,1,-,-,-
,,6210,GUNUNG MAS,4,-,-,2.974,,,,714,12,1,-,-,-
,,6211,PULANG PISAU,4,-,-,12.415,,,,3.056,12,1,-,-,-
,,6212,MURUNG RAYA,4,-,-,83.664,,,,21.026,12,1,-,-,-
,,6271,"KOTA
PALANGKARAYA",6,5,-,62.955,,,,9.588,12,1,-,-,-
63,"KALIMANTAN
SELATAN",6301,TANAH LAUT,2,-,-,1.220,,,,244,12,1,-,-,-
,,6303,BANJAR,8,-,-,853,9,8,16,100,12,1,1,1,-
,,6304,BARITO KUALA,1,-,-,-,,,,,12,1,-,-,-
,,6305,TAPIN,2,-,-,299,,,,107,12,1,-,-,-
,,6307,"HULU SUNGAI
TENGAH",1,-,-,6.340,,,,2.210,12,1,-,-,-
,,6308,"HULU SUNGAI
UTARA",1,-,-,18.266,,,,5.413,12,1,-,-,-
,,6309,TABALONG,1,-,-,241,,,,90,12,1,-,-,-
,,6310,TANAH BUMBU,6,-,-,22.597,,,,6.239,12,1,-,-,-
,,6311,BALANGAN,3,-,-,430,,,12,262,12,1,-,-,-
,,6372,KOTA BANJARBARU,1,-,-,-,,,,,12,1,-,-,-
64,"KALIMANTAN
TIMUR",6401,PASER,7,-,-,2.008,5,-,25,496,12,1,-,1,-
,,6402,"KUTAI
KARTANEGARA",31,-,-,86,5,-,11,-,12,1,-,1,-
,,6403,BERAU,4,-,1,1.765,6,-,7,512,12,1,-,-,-
,,6407,KUTAI BARAT,20,-,-,36.612,7,-,15,9.690,12,1,-,-,-
,,6408,KUTAI TIMUR,13,-,-,-,-,-,-,-,12,1,-,-,-
,,6409,"PENAJAM PASER
UTARA",15,-,-,3.216,44,-,-,775,12,1,-,-,-
,,6411,MAHAKAM ULU,2,-,-,2.940,55,5,37,14,12,1,-,-,-
,,6471,KOTA BALIKPAPAN,7,-,-,2.830,5,-,-,-,12,1,-,-,-
,,6472,KOTA SAMARINDA,32,1,-,2.907,1,-,5,633,12,1,-,-,-
,,6474,KOTA BONTANG,13,-,-,-,-,-,-,-,12,1,-,-,-
65,"KALIMANTAN
UTARA",6501,BULUNGAN,5,-,-,10.360,777,,,1.275,12,1,-,-,-
,,6502,MALINAU,2,-,-,13.652,5,,,4.038,12,1,-,-,-
,,6503,NUNUKAN,2,-,-,1.862,,,,238,12,1,-,-,-
,,6571,KOTA TARAKAN,1,3,-,50,5,,5,,12,1,-,-,-
71,"SULAWESI
UTARA",7101,"BOLAANG
MONGONDOW",4,-,-,9.207,2,,,2.930,12,1,-,-,-
,,7102,MINAHASA,6,-,-,6.212,7,,35,901,12,1,-,-,-
,,7103,"KEPULAUAN
SANGIHE",1,-,-,536,,3,2,,12,1,-,-,-
,,7104,"KEPULAUAN
TALAUD",1,-,-,110,,,,,12,1,-,-,-
,,7105,MINAHASA SELATAN,1,-,-,55,,,,,12,1,-,-,-
,,7106,MINAHASA UTARA,1,-,-,7.950,28,33,206,1.622,12,1,1,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,13,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,13,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,13,1,,,
,,,,,Jiwa,,,Unit,,,,13,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),13,1,(13),(14),(15)
,,7108,"BOLAANG
MONGONDOW
UTARA",3,-,-,2.924,,,,774,13,1,-,-,-
,,7109,"KEP. SIAU
TAGULANDANG
BIARO",1,-,-,24.314,,,363,,13,1,-,-,-
,,7111,"BOLAANG
MONGONDOW
SELATAN",1,-,-,7.788,,,,2.259,13,1,-,-,-
,,7171,KOTA MANADO,2,-,-,454,8,,,259,13,1,-,-,-
,,7172,KOTA BITUNG,2,1,3,14.545,50,120,27,4.688,13,1,-,-,-
72,"SULAWESI
TENGAH",7201,BANGGAI,10,-,-,4.822,1,,10,531,13,1,-,-,-
,,7202,POSO,10,-,-,5.135,1,4,2,969,13,1,-,-,-
,,7203,DONGGALA,12,-,-,7.946,20,,5,1.896,13,1,2,2,1
,,7204,TOLI TOLI,3,-,-,555,,,3,116,13,1,-,-,-
,,7205,BUOL,6,1,-,7.360,55,224,267,1.482,13,1,-,1,2
,,7206,MOROWALI,8,-,3,1.615,1,9,1,161,13,1,1,1,-
,,7207,"BANGGAI
KEPULAUAN",3,-,-,176,1,2,11,24,13,1,-,-,-
,,7208,PARIGI MOUTONG,15,1,-,12.655,68,8,16,2.151,13,1,-,-,-
,,7209,TOJO UNA UNA,5,1,-,11.549,8,7,,2.429,13,1,-,-,-
,,7210,SIGI,8,3,1,1.578,,,,241,13,1,-,-,-
,,7211,BANGGAI LAUT,3,-,-,3.820,,,,740,13,1,-,-,-
,,7212,MOROWALI UTARA,8,-,-,9.353,,,,1.115,13,1,-,-,-
,,7271,KOTA PALU,3,-,-,1.720,,,,265,13,1,-,-,-
73,"SULAWESI
SELATAN",7301,"KEPULAUAN
SELAYAR",3,-,-,3.101,,,,168,13,1,-,-,-
,,7302,BULUKUMBA,5,1,-,1.973,,2,18,243,13,1,-,-,-
,,7304,JENEPONTO,6,-,-,5.735,9,4,17,,13,1,-,-,-
,,7305,TAKALAR,8,-,-,530,3,10,15,,13,1,-,-,-
,,7306,GOWA,3,-,-,1.412,,,,229,13,1,-,-,-
,,7307,SINJAI,2,-,-,234,3,2,30,38,13,1,-,2,-
,,7308,BONE,9,-,-,1.669,6,15,61,280,13,1,-,-,-
,,7309,MAROS,5,-,-,212.486,1,13,7,,13,1,-,-,-
,,7310,"PANGKAJENE DAN
KEPULAUAN",4,-,-,93.991,1,17,5,1.123,13,1,-,-,-
,,7311,BARRU,3,1,-,68.209,,2,21,285,13,1,-,-,-
,,7312,SOPPENG,4,10,8,31.361,35,,,1.310,13,1,-,-,-
,,7313,WAJO,8,1,-,86.086,53,25,83,24.825,13,1,2,-,-
,,7314,"SIDENRENG
RAPPANG",11,4,4,31.028,21,35,167,7.885,13,1,5,-,-
,,7315,PINRANG,20,-,-,13.798,61,51,79,3.123,13,1,-,-,-
,,7316,ENREKANG,4,-,-,9.467,7,,,1.142,13,1,-,-,-
,,7317,LUWU,27,19,69,41.941,139,57,170,7.607,13,1,-,-,-
,,7318,TANA TORAJA,2,20,2,99,11,,,,13,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,14,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,14,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,14,1,,,
,,,,,Jiwa,,,Unit,,,,14,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),14,1,(13),(14),(15)
,,7322,LUWU UTARA,21,-,-,109.201,1,1,24,24.759,14,1,-,-,-
,,7324,LUWU TIMUR,4,-,-,809,39,8,16,108,14,1,-,-,-
,,7326,TORAJA UTARA,2,3,6,180,2,,,,14,1,-,-,-
,,7371,KOTA MAKASSAR,3,-,-,65.000,,,,16.580,14,1,-,-,-
,,7372,KOTA PAREPARE,3,-,-,1.035,4,,8,294,14,1,-,-,-
,,7373,KOTA PALOPO,8,-,-,16.435,,,,3.167,14,1,-,-,-
74,"SULAWESI
TENGGARA",7401,KOLAKA,1,-,-,6.315,,,,1.263,14,1,-,-,-
,,7402,KONAWE,6,-,-,3.290,14,9,46,344,14,1,-,-,-
,,7405,KONAWE SELATAN,2,-,-,735,,,,148,14,1,-,-,-
,,7406,BOMBANA,1,-,-,40,,,,8,14,1,-,-,-
,,7407,WAKATOBI,1,-,2,74,5,8,5,,14,1,-,-,-
,,7409,KONAWE UTARA,2,-,-,5.280,1,,,1.426,14,1,-,-,-
,,7410,BUTON UTARA,3,-,-,3.240,,,,724,14,1,-,-,-
,,7413,MUNA BARAT,1,-,-,275,,,,,14,1,-,-,-
,,7471,KOTA KENDARI,3,2,1,16.835,,,,3.304,14,1,-,-,-
75,GORONTALO,7501,GORONTALO,7,1,-,52.889,9,,1,7.962,14,1,-,-,-
,,7502,BOALEMO,6,-,-,3.588,,,,760,14,1,-,-,-
,,7503,BONE BOLANGO,9,43,8,15.655,37,,56,3.086,14,1,-,1,-
,,7504,POHUWATO,5,-,-,14.440,,,,4.370,14,1,-,-,-
,,7505,GORONTALO UTARA,5,-,-,17.609,3,,20,5.459,14,1,-,-,-
,,7571,KOTA GORONTALO,3,1,227,56.629,,,,6.799,14,1,-,-,-
76,"SULAWESI
BARAT",7602,MAMUJU,6,-,-,7.182,3,1,5,1.107,14,1,-,-,-
,,7603,MAMASA,3,-,1,2.187,61,41,199,,14,1,-,-,-
,,7604,POLEWALI MANDAR,4,1,2,7.340,,8,2,488,14,1,1,-,-
,,7606,MAMUJU TENGAH,9,-,-,6.677,,,5,1.154,14,1,-,-,-
81,MALUKU,8101,MALUKU TENGAH,7,-,-,4.793,5,3,5,1.015,14,1,-,-,-
,,8102,MALUKU TENGGARA,3,-,-,1.458,36,55,49,198,14,1,-,-,-
,,8103,"KEPULAUAN
TANIMBAR",1,-,-,95,,,17,,14,1,-,-,-
,,8104,BURU,1,-,-,11.481,,,1,1.564,14,1,-,-,-
,,8105,"SERAM BAGIAN
TIMUR",3,-,-,561,2,2,33,96,14,1,-,-,-
,,8106,"SERAM BAGIAN
BARAT",5,-,-,3.880,,,,747,14,1,-,-,-
,,8107,KEPULAUAN ARU,3,-,-,495,4,,25,161,14,1,1,1,-
,,8108,"MALUKU BARAT
DAYA",1,4,-,-,,,,,14,1,-,-,-
,,8109,BURU SELATAN,2,-,-,520,10,,12,104,14,1,-,-,-
,,8171,KOTA AMBON,7,3,3,368,,,41,,14,1,-,-,-
,,8172,KOTA TUAL,3,-,-,235,20,25,11,,14,1,-,1,-
82,"MALUKU
UTARA",8201,HALMAHERA BARAT,5,1,2,8.488,2,4,8,138,14,1,-,-,-
,,8202,"HALMAHERA
TENGAH",7,-,-,6.996,,,,966,14,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,15,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,15,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,15,1,,,
,,,,,Jiwa,,,Unit,,,,15,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),15,1,(13),(14),(15)
,,8203,HALMAHERA UTARA,4,1,-,4.577,,,2,748,15,1,-,-,-
,,8204,"HALMAHERA
SELATAN",6,1,-,14.498,27,6,27,992,15,1,-,-,-
,,8206,HALMAHERA TIMUR,10,-,-,5.301,12,,,1.052,15,1,-,-,-
,,8207,PULAU MOROTAI,5,-,-,3.027,2,69,,440,15,1,-,1,-
,,8208,PULAU TALIABU,7,-,8,1.149,3,,7,155,15,1,-,-,-
,,8271,KOTA TERNATE,2,20,15,1.000,19,2,43,39,15,1,-,1,-
,,8272,"KOTA TIDORE
KEPULAUAN",10,-,-,1.552,1,,82,486,15,1,-,-,-
91,P A P U A,9103,JAYAPURA,4,2,-,2.720,,,,692,15,1,-,1,-
,,9105,KEPULAUAN YAPEN,4,-,-,2.782,1,,272,329,15,1,3,2,-
,,9110,SARMI,1,-,-,232,,,23,16,15,1,-,1,-
,,9111,KEEROM,3,-,-,206,,,,38,15,1,-,-,-
,,9115,WAROPEN,4,-,-,803,,,20,157,15,1,1,3,-
,,9120,MAMBERAMO RAYA,1,-,-,531,,,,257,15,1,-,-,-
,,9171,KOTA JAYAPURA,2,-,-,465,,,1,100,15,1,-,-,-
92,PAPUA BARAT,9202,MANOKWARI,9,-,-,4.374,,,59,347,15,1,-,3,-
,,9206,TELUK BINTUNI,4,-,-,5.405,,,,1.100,15,1,-,-,-
,,9207,TELUK WONDAMA,1,-,,2.278,,,,,15,1,-,-,-
,,9211,"MANOKWARI
SELATAN",3,-,-,1.366,,,,293,15,1,-,-,-
,,9212,"PEGUNUNGAN
ARFAK",1,4,1,1.080,8,,,,15,1,-,-,-
93,"PAPUA
SELATAN",9301,MERAUKE,3,-,-,3.805,7,6,836,258,15,1,1,1,-
94,PAPUA TENGAH,9402,PUNCAK JAYA,1,2,2,4,,,,,15,1,-,-,-
,,9404,MIMIKA,2,7,-,5.353,,,,495,15,1,-,-,-
,,9406,DOGIYAI,1,5,1,-,,,,,15,1,-,-,-
,,9407,INTAN JAYA,1,5,1,-,,,,,15,1,-,-,-
95,"PAPUA
PEGUNUNGAN",9502,"KAB PEGUNUNGAN
BINTANG",2,-,-,1.724,13,,44,,15,1,21,1,5
,,9503,YAHUKIMO,1,-,-,2.956,1.133,,,,15,1,-,-,-
96,"PAPUA BARAT
DAYA",9601,SORONG,2,-,-,5.745,2,,,3.000,15,1,-,-,-
,,9671,KOTA SORONG,2,-,-,9.214,19,,19,3.441,15,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Jumlah
Kejadian",Korban,,,Kerusakan,,,,,,16,1,,,
,,,"Meninggal
& Hilang","Luka /
Sakit","Mengungsi
& Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam","Fasilitas
Pendidikan","Fasilitas
Peribadatan",16,1,"Fasilitas
Kesehatan",,
,,,(jiwa),,,(unit),,,,,,16,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),16,1,(13),,
11,ACEH,47,3,-,230.712,49,16,41,29.834,1,-,16,1,-,,
12,SUMATERA UTARA,120,12,105,353.645,141,12,370,69.117,9,4,16,1,-,,
13,SUMATERA BARAT,64,72,66,303.291,1.363,5.072,6.142,68.550,21,14,16,1,5,,
14,RIAU,53,-,-,248.958,15,9,98,58.058,-,-,16,1,16,,
15,JAMBI,44,4,-,315.814,28,25,184,86.147,1,4,16,1,-,,
16,SUMATERA SELATAN,69,15,14,607.560,528,204,475,103.894,1,1,16,1,-,,
17,BENGKULU,9,-,1,19.406,79,,290,3.886,-,-,16,1,-,,
18,LAMPUNG,28,5,-,52.641,,3,,10.668,-,-,16,1,-,,
19,"KEPULAUAN BANGKA
BELITUNG",2,-,-,2.665,,,,563,-,-,16,1,-,,
21,KEPULAUAN RIAU,4,1,-,2.964,,,,204,-,-,16,1,-,,
31,DKI JAKARTA,14,-,-,9.862,,,,2.729,-,-,16,1,-,,
32,JAWA BARAT,143,15,10.400,483.117,391,437,9.739,115.820,5,6,16,1,-,,
33,JAWA TENGAH,78,18,2,996.757,34,36,2.563,231.645,1,6,16,1,-,,
35,JAWA TIMUR,121,8,4,324.153,16,10,84,54.686,3,4,16,1,1,,
36,BANTEN,66,4,1,135.945,23,9,89,13.899,-,-,16,1,-,,
51,BALI,2,1,-,-,,1,16,,-,-,16,1,-,,
52,NUSA TENGGARA BARAT,44,-,9,88.140,26,9,2,7.208,2,-,16,1,-,,
53,NUSA TENGGARA TIMUR,13,5,-,22.504,1,6,27,5.208,-,-,16,1,-,,
61,KALIMANTAN BARAT,56,3,-,452.546,16,5,8,96.097,4,-,16,1,-,,
62,KALIMANTAN TENGAH,39,5,2,332.197,,,,70.652,-,-,16,1,-,,
63,KALIMANTAN SELATAN,15,-,-,50.108,,,,14.665,1,-,16,1,-,,
64,KALIMANTAN TIMUR,29,1,-,51.843,56,5,37,12.120,-,-,16,1,-,,
65,KALIMANTAN UTARA,5,-,-,24.708,782,,,5.551,-,-,16,1,-,,
71,SULAWESI UTARA,17,1,3,49.376,80,156,235,13.433,1,-,16,1,-,,
72,SULAWESI TENGAH,85,6,2,67.487,145,246,285,12.120,2,2,16,1,1,,
73,SULAWESI SELATAN,91,10,63,762.062,165,69,143,93.166,2,1,16,1,-,,
74,SULAWESI TENGGARA,17,2,1,35.815,1,,,7.217,-,-,16,1,-,,
75,GORONTALO,31,2,227,158.713,40,,76,28.436,-,1,16,1,-,,
76,SULAWESI BARAT,15,-,-,16.272,1,,5,2.749,-,-,16,1,-,,
81,MALUKU,18,-,-,22.143,5,5,37,3.835,1,1,16,1,-,,
82,MALUKU UTARA,40,22,16,36.266,59,10,120,4.981,-,1,16,1,-,,
91,P A P U A,15,1,-,7.306,1,,267,1.553,4,6,16,1,-,,
