page,text_preview,num_tables_found
11,"Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
5302 TIMOR TENGAH 1 - - 239 58 - - -
SELATAN
5303",1
12,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
6209 L",1
13,"Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
7108 BOLAANG 3 - - 2.924 774 - - -
MONGONDOW
UTAR",1
14,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
7322 L",1
15,"Tabel L3. Kejadian Bencana Indonesia Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Provinsi Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Wilayah Kota Kejadian Meninggal Luka- Mengungsi Rumah Fasillitas Fasilitas Fasilitas
Provinsi Kabupaten & Hilang Luka & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
8203 HALMAHERA UTARA 4 1 - 4.577 2 748 - - -
8204",1
16,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L4. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Provinsi
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13)
11 ACEH 47 3 - 230.712 49 16 41 29.834 1 - -
12 SUMATERA UTARA 1",1
17,"Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
11 ACEH 1101 ACEH SELATAN 5 - - 25.292 ",1
18,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) ",1
19,"Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
1408 SIAK 1 - - 692 - - - 17",1
20,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L5. Kejadian Bencana Banjir Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten/ Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) ",1
